ORDER_NO,BACKLOG,ORDER_STATUS,ORDER_TYPE_CODE,NOM_ST_NO,ORDER_WIDTH,ORDER_WT,INNER_DELIVY_DATE,DELIVY_WEEK_FLAG,MAT_GROUP,SLAB_MAX_NOM_WIDTH,SLAB_MIN_NOM_WIDTH,SLAB_MAX_NOM_LEN,SLAB_MIN_NOM_LEN,SLAB_MAX_NOM_WT,SLAB_MIN_NOM_WT,NOM_ROLL_THICK,NOM_ROLL_WIDTH,UNPR_WEIGHT_1,UNPR_WEIGHT_4,UNIT_WT_MAX,UNIT_WT_MIN,MATERIAL_WEIGHT_1,MATERIAL_WEIGHT_3,MATERIAL_WEIGHT_4,ST_NO_1,ST_NO_2,ST_NO_3,ST_NO_4,ST_NO_5,ST_NO_6,ST_NO_7,ST_NO_8,ST_NO_9,ST_NO_10
I0E0000110,10010000000000000,43,TZA,AT5426A1,1245,46,20200131,C, ,,,,,,,2.995,1245,0,22.7,24,15,21.278,,33.5,,,,,,,,,,
I0E0000111,10010000000000000,43,TZA,AT5426A1,1220,46,20200131,C, ,,,,,,,2.995,1220,0,22.634,24,15,23.799,,23.59,,,,,,,,,,
I0L0000064,10015000000000000,41,QZA,EU7813A6,1145,700,20200131,C, ,1345,1145,12,8,25.705,20.564,2.525,1145,0,0,25,20,0,,0, , , , , , , , , , 
I0L0000064,1001D000000000000,41,QZA,EU7813A6,1145,700,20200131,C, ,1345,1145,12,8,25.527,20.421,2.525,1145,641.658,630.933,25,20,0,,0, , , , , , , , , , 
I0S0000112,10012000000000000,41,YZW,JT4415AF,1500,143.899,20200430,A, ,1682,1532,12,8,35.236,24.052,13.91,1532,24.606,24.195,9,0,0,,0, , , , , , , , , , 
I3A0014892,10033000000000000,41,QRA,JS7213A6,1500,30,20130430,C, ,1550,1500,11,8,33.461,23.55,4.03,1500,2.048,2.004,9,0,0,,0, , , , , , , , , , 
I3A0014893,10032000000000000,41,QRA,JS7213A6,1500,30,20130430,C, ,1550,1500,11,8,33.461,23.55,5.03,1500,2.052,2.008,9,0,0,,0, , , , , , , , , , 
I3A0020961,10012000000000000,41,QRA,JU9890A6,1800,14,20130531,C, ,1893,1828,12,8,42.044,28.7,8.38,1828,2.042,2.008,5,0,0,,0, , , , , , , , , , 
I3A0020962,10012000000000000,41,QRA,JU9890A6,1800,22,20130531,C, ,1893,1828,12,8,42.044,28.7,6.33,1828,2.042,2.008,5,0,0,,0, , , , , , , , , , 
I3S0000059,10012000000000000,41,YWA,MN0180E1,1480,2000,20151231,A, ,1580,1480,12,8,34.04,23.236,11.03,1480,78258.786,76950.626,10,0,0,,0, , , , , , , , , , 
I4A0056193,20036300000000000,43,QSC,ET5490A6,1253,2,20141231,C, ,1573,1293,11,8,29.739,18.676,4.024,1293,0,0,5,0,0,,0, , , , , , , , , , 
I5A0010345,10010000000000000,41,QHA,DT0145D1,1306,30,20150304,A, ,1506,1306,12,8,28.623,20.747,4.08,1306,1.684,1.656,28.623,20.4,0,,0, , , , , , , , , , 
I5A0046896,20035000000000000,43,QSC,ET5490A6,1250,2,20151031,C, ,1570,1290,11,8,29.67,18.633,4.02,1290,0,0,25,0,0,,0, , , , , , , , , , 
I5A0046896,50035000000000000,43,QSC,ET5490A6,1250,2,20151031,C, ,1440,1290,11,8,29.67,20.253,4.02,1290,0,0,25,0,0,,0, , , , , , , , , , 
I5B0002375,B0010000000000000,43,YDA,AP0951E1,1010,5000,20151130,C, ,1260,1010,10.8,8,21,18.306,2.77,1010,0,5000,21,18,0,,0, , , , , , , , , , 
I5B0002376,B0010000000000000,43,YDA,AP0951E1,1010,5000,20151130,C, ,1260,1010,10.8,8,21,18.306,3.52,1010,0,5000,21,18,0,,0, , , , , , , , , , 
I5B0002377,B0010000000000000,43,YDA,AP0951E1,1010,1500,20151031,C, ,1260,1010,10.8,8,21,18.306,2.77,1010,0,1500,21,18,0,,0, , , , , , , , , , 
I5B0002378,B0010000000000000,43,YDA,AP0951E1,1010,100,20151031,C, ,1260,1010,10.8,8,22,15.255,3.02,1010,0,100,22,15,0,,0, , , , , , , , , , 
I5B0002379,B0010000000000000,43,YDA,AP0951E1,1210,100,20151031,C, ,1460,1210,10.8,8,22,17.477,3.02,1210,0,100,22,15,0,,0, , , , , , , , , , 
I5B0002380,B0010000000000000,43,YDA,AP0951E1,1250,400,20151031,C, ,1500,1250,10.8,8,26,24.408,3.02,1250,0,400,26,24,0,,0, , , , , , , , , , 
I5B0002381,B0010000000000000,43,YDA,AP0951E1,1010,1500,20151130,C, ,1260,1010,10.8,8,20,17.289,2.57,1010,0,1500,20,17,0,,0, , , , , , , , , , 
I5B0002382,B0010000000000000,43,YDA,AP0951E1,1010,300,20151031,C, ,1260,1010,10.8,8,22,19.323,3.02,1010,0,300,22,19,0,,0, , , , , , , , , , 
I5B0002383,B0010000000000000,43,YDA,AP0951E1,1010,1500,20151130,C, ,1260,1010,10.8,8,20,17.289,3.32,1010,0,1500,20,17,0,,0, , , , , , , , , , 
I5B0002384,B0010000000000000,43,YDA,AP0951E1,1500,200,20151031,C, ,1650,1500,10.8,8,23,21.666,3.02,1500,0,200,23,20,0,,0, , , , , , , , , , 
I5B0002385,B0010000000000000,43,YDA,AP0951E1,1210,1000,20151130,C, ,1460,1210,10.8,8,22,19.323,2.57,1210,0,1000,22,19,0,,0, , , , , , , , , , 
I5B0002386,B0010000000000000,43,YDA,AP0951E1,1250,100,20151031,C, ,1500,1250,10.8,8,26,24.408,3.02,1250,0,100,26,24,0,,0, , , , , , , , , , 
I5B0002387,B0010000000000000,43,YDA,AP0951E1,1260,1000,20151130,C, ,1510,1260,10.8,8,24,20.34,2.57,1260,0,1000,24,20,0,,0, , , , , , , , , , 
I5B0002388,B0010000000000000,43,YDA,AP0951E1,1260,1000,20151130,C, ,1510,1260,10.8,8,24,20.34,3.32,1260,0,1000,24,20,0,,0, , , , , , , , , , 
I5B0002389,B0010000000000000,43,YDA,AP0951E1,1010,1000,20151031,C, ,1260,1010,10.8,8,20,17.289,2.57,1010,0,1000,20,17,0,,0, , , , , , , , , , 
I5B0002390,B0010000000000000,43,YDA,AP0951E1,1010,5000,20151130,C, ,1260,1010,10.8,8,21,18.306,3.52,1010,0,5000,21,18,0,,0, , , , , , , , , , 
I5B0002391,B0010000000000000,43,YDA,AP0951E1,1219,700,20151130,C, ,1469,1219,10.8,8,26,24.408,3.52,1219,0,700,26,24,0,,0, , , , , , , , , , 
I5B0002392,B0010000000000000,43,YDA,AP0951E1,1250,600,20151130,C, ,1500,1250,10.8,8,26,24.408,2.77,1250,0,600,26,24,0,,0, , , , , , , , , , 
I5B0002393,B0010000000000000,43,YDA,AP0951E1,1250,3500,20151130,C, ,1500,1250,10.8,8,26,24.408,3.02,1250,0,3500,26,24,0,,0, , , , , , , , , , 
I5B0002394,B0010000000000000,43,YDA,AP0951E1,1250,1000,20151130,C, ,1500,1250,10.8,8,26,24.408,3.52,1250,0,1000,26,24,0,,0, , , , , , , , , , 
I5B0002395,B0010000000000000,43,YDA,AP0951E1,1010,1000,20151130,C, ,1260,1010,10.8,8,22,15.255,2.77,1010,0,1000,22,15,0,,0, , , , , , , , , , 
I5B0002396,B0010000000000000,43,YDA,AP0951E1,1210,1000,20151130,C, ,1460,1210,10.8,8,22,17.477,3.02,1210,0,1000,22,15,0,,0, , , , , , , , , , 
I5B0002397,B0010000000000000,43,YDA,AP0951E1,1260,1000,20151130,C, ,1510,1260,10.8,8,22,18.199,3.02,1260,0,1000,22,15,0,,0, , , , , , , , , , 
I5B0002398,B0010000000000000,43,YDA,AP0951E1,1010,500,20151031,C, ,1260,1010,10.8,8,21,18.306,2.77,1010,0,500,21,18,0,,0, , , , , , , , , , 
I5B0002399,B0010000000000000,43,YDA,AP0951E1,1010,5000,20151130,C, ,1260,1010,10.8,8,22,15.255,3.52,1010,0,5000,22,15,0,,0, , , , , , , , , , 
I5B0002400,B0010000000000000,43,YDA,AP0951E1,1260,2000,20151130,C, ,1515,1265,10.8,8,22,18.272,2.32,1265,0,2000,22,15,0,,0, , , , , , , , , , 
I5B0002401,B0010000000000000,43,YDA,AP0951E1,1010,500,20151130,C, ,1260,1010,10.8,8,22,19.323,2.77,1010,0,500,22,19,0,,0, , , , , , , , , , 
I5B0002402,B0010000000000000,43,YDA,AP0951E1,1010,2500,20151130,C, ,1260,1010,10.8,8,22,19.323,3.02,1010,0,2500,22,19,0,,0, , , , , , , , , , 
I5B0002403,B0010000000000000,43,YDA,AP0951E1,1010,1000,20151130,C, ,1260,1010,10.8,8,22,19.323,3.52,1010,0,1000,22,19,0,,0, , , , , , , , , , 
I5B0002404,B0010000000000000,43,YDA,AP0951E1,1219,300,20151130,C, ,1469,1219,10.8,8,26,24.408,2.77,1219,0,300,26,24,0,,0, , , , , , , , , , 
I5B0002405,B0010000000000000,43,YDA,AP0951E1,1219,1500,20151130,C, ,1469,1219,10.8,8,26,24.408,3.02,1219,0,1500,26,24,0,,0, , , , , , , , , , 
I5B0002406,B0010000000000000,43,YDA,AP0951E1,1250,200,20151130,C, ,1500,1250,10.8,8,26,24.408,3.02,1250,0,200,26,24,0,,0, , , , , , , , , , 
I5B0002407,B0010000000000000,43,YDA,AP0951E1,1250,200,20151130,C, ,1500,1250,10.8,8,26,24.408,3.52,1250,0,200,26,24,0,,0, , , , , , , , , , 
I5B0002408,B0010000000000000,43,YDA,AP0951E1,1250,200,20151130,C, ,1500,1250,10.8,8,26,24.408,4.02,1250,0,200,26,24,0,,0, , , , , , , , , , 
I5B0002409,B0010000000000000,43,YDA,AP0951E1,1500,500,20151130,C, ,1650,1500,10.8,8,23,21.666,2.77,1500,0,500,23,20,0,,0, , , , , , , , , , 
I5B0002410,B0010000000000000,43,YDA,AP0951E1,1500,1000,20151130,C, ,1650,1500,10.8,8,23,21.666,3.02,1500,0,1000,23,20,0,,0, , , , , , , , , , 
I5B0002411,B0010000000000000,43,YDA,AP0951E1,1500,600,20151130,C, ,1650,1500,10.8,8,23,21.666,3.52,1500,0,600,23,20,0,,0, , , , , , , , , , 
I5B0002412,B0010000000000000,43,YDA,AP0951E1,1305,200,20151130,C, ,1555,1305,10.8,8,21,18.849,3.02,1305,0,200,21,18,0,,0, , , , , , , , , , 
I5B0002413,B0010000000000000,43,YDA,AP0951E1,1500,300,20151130,C, ,1650,1500,10.8,8,23,21.666,4.02,1500,0,300,23,20,0,,0, , , , , , , , , , 
I5B0002414,B0010000000000000,43,YDA,AP0951E1,1500,600,20151130,C, ,1650,1500,10.8,8,23,21.666,4.52,1500,0,600,23,20,0,,0, , , , , , , , , , 
I5B0002415,B0010000000000000,43,YDA,GR4151E1,1250,800,20151130,C, ,1500,1250,10.8,8,26,24.408,3.02,1250,0,800,26,24,0,,0, , , , , , , , , , 
I5B0002416,B0010000000000000,43,YDA,GR4151E1,1250,1500,20151130,C, ,1500,1250,10.8,8,26,24.408,3.52,1250,0,1500,26,24,0,,0, , , , , , , , , , 
I5B0002417,B0010000000000000,43,YDA,GR4151E1,1250,600,20151130,C, ,1500,1250,10.8,8,26,24.408,4.02,1250,0,600,26,24,0,,0, , , , , , , , , , 
I5B0002418,B0010000000000000,43,YDA,GR4151E1,1500,300,20151130,C, ,1650,1500,10.8,8,23,21.666,3.52,1500,0,300,23,20,0,,0, , , , , , , , , , 
I5B0002419,B0010000000000000,43,YDA,GR4151E1,1500,200,20151130,C, ,1650,1500,10.8,8,23,21.666,4.02,1500,0,200,23,20,0,,0, , , , , , , , , , 
I5B0002420,B0010000000000000,43,YDA,GR4151E1,1500,200,20151130,C, ,1650,1500,10.8,8,23,21.666,4.52,1500,0,200,23,20,0,,0, , , , , , , , , , 
I5B0002421,B0010000000000000,43,YDA,AP0951E1,1010,500,20151031,C, ,1265,1015,10.8,8,22,15.255,3.27,1015,0,500,22,15,0,,0, , , , , , , , , , 
I5B0002422,B0010000000000000,43,YDA,AP0951E1,1260,500,20151031,C, ,1515,1265,10.8,8,22,18.272,3.27,1265,0,500,22,15,0,,0, , , , , , , , , , 
I5B0002423,B0010000000000000,43,YDA,AP0951E1,1260,500,20151130,C, ,1515,1265,10.8,8,22,18.306,3.27,1265,0,500,22,18,0,,0, , , , , , , , , , 
I5B0002424,B0010000000000000,43,YDA,AP0951E1,1010,500,20151130,C, ,1265,1015,10.8,8,22,18.306,2.57,1015,0,500,22,18,0,,0, , , , , , , , , , 
I5B0002425,B0010000000000000,43,YDA,AP0951E1,1210,500,20151130,C, ,1465,1215,10.8,8,22,18.306,2.57,1215,0,500,22,18,0,,0, , , , , , , , , , 
I5B0002426,B0010000000000000,43,YDA,AP0951E1,1260,500,20151130,C, ,1515,1265,10.8,8,22,18.306,2.57,1265,0,500,22,18,0,,0, , , , , , , , , , 
I5B0002427,B0010000000000000,43,YDA,AP0951E1,1260,500,20151130,C, ,1510,1260,10.8,8,22,18.306,3.32,1260,0,500,22,18,0,,0, , , , , , , , , , 
I5B0002428,B0010000000000000,43,YDA,AP0951E1,1010,500,20151130,C, ,1260,1010,10.8,8,22,18.306,2.57,1010,0,500,22,18,0,,0, , , , , , , , , , 
I5B0002429,B0010000000000000,43,YDA,AP0951E1,1210,500,20151130,C, ,1460,1210,10.8,8,22,18.306,2.57,1210,0,500,22,18,0,,0, , , , , , , , , , 
I5B0002430,B0010000000000000,43,YDA,AP0951E1,1260,500,20151130,C, ,1510,1260,10.8,8,22,18.306,2.57,1260,0,500,22,18,0,,0, , , , , , , , , , 
I5B0002431,B0010000000000000,43,YDA,AP0951E1,1010,1500,20151031,C, ,1265,1015,10.8,8,22,18.306,2.57,1015,0,1500,22,18,0,,0, , , , , , , , , , 
I5B0002432,B0010000000000000,43,YDA,AP0951E1,1210,1500,20151031,C, ,1465,1215,10.8,8,22,18.306,2.57,1215,0,1500,22,18,0,,0, , , , , , , , , , 
I5B0002433,B0010000000000000,43,YDA,AP0951E1,1260,1500,20151031,C, ,1515,1265,10.8,8,22,18.306,2.57,1265,0,1500,22,18,0,,0, , , , , , , , , , 
I5B0002434,B0010000000000000,43,YDA,AP0951E1,1010,1500,20151031,C, ,1265,1015,10.8,8,22,18.306,3.27,1015,0,1500,22,18,0,,0, , , , , , , , , , 
I5B0002435,B0010000000000000,43,YDA,AP0951E1,1010,1500,20151031,C, ,1260,1010,10.8,8,22,18.306,2.57,1010,0,1500,22,18,0,,0, , , , , , , , , , 
I5B0002436,B0010000000000000,43,YDA,AP0951E1,1210,1500,20151031,C, ,1460,1210,10.8,8,22,18.306,2.57,1210,0,1500,22,18,0,,0, , , , , , , , , , 
I5B0002437,B0010000000000000,43,YDA,AP0951E1,1260,1500,20151031,C, ,1510,1260,10.8,8,22,18.306,2.57,1260,0,1500,22,18,0,,0, , , , , , , , , , 
I5B0002438,B0010000000000000,43,YDA,AP0951E1,1010,1500,20151031,C, ,1260,1010,10.8,8,22,18.306,3.32,1010,0,1500,22,18,0,,0, , , , , , , , , , 
I5B0002439,B0010000000000000,43,YDA,AP0951E1,1010,500,20151031,C, ,1260,1010,10.8,8,21,18.306,2.77,1010,0,500,21,18,0,,0, , , , , , , , , , 
I5B0002440,B0010000000000000,43,YDA,AP0951E1,1260,500,20151031,C, ,1510,1260,10.8,8,20,18.199,3.32,1260,0,500,20,17,0,,0, , , , , , , , , , 
I5B0002441,B0010000000000000,43,YDA,AP0951E1,1010,500,20151031,C, ,1260,1010,10.8,8,20,17.289,2.57,1010,0,500,20,17,0,,0, , , , , , , , , , 
I5B0003484,20011000000000000,43,YDA,AT4424A1,1250,150,20151231,C, ,1450,1250,11,8,23.485,18.055,2.525,1250,0,150.6,23,15,0,,0, , , , , , , , , , 
I5B0003485,20011000000000000,43,YDA,AT4424A1,1250,150,20151231,C, ,1450,1250,10.45,8,23.485,18.055,2.02,1250,0,150.6,23,15,0,,0, , , , , , , , , , 
I5D0000782,B0010000000000000,43,YDA,GR4151E1,1250,1000,20151130,C, ,1500,1250,9.45,8,24,18.055,1.52,1250,0,1000,24,13,0,,0, , , , , , , , , , 
I5D0000783,B0010000000000000,43,YDA,AP0951E1,1250,500,20151130,C, ,1500,1250,10.8,8,28,18.055,2.52,1250,0,500,28,10,0,,0, , , , , , , , , , 
I5D0000784,B0010000000000000,43,YDA,AP0951E1,1500,1500,20151130,C, ,1650,1500,10.8,8,28,21.666,2.525,1500,0,1500,28,10,0,,0, , , , , , , , , , 
I5D0000785,B0010000000000000,43,YDA,GR4151E1,1500,2000,20151130,C, ,1650,1500,10.8,8,28,21.666,3.53,1500,0,2000,28,10,0,,0, , , , , , , , , , 
I5E0008360,B0010000000000000,43,YDA,AP0961E1,1015,300,20151031,C, ,1265,1015,10.8,8,20,17.289,2.725,1015,0,300,20,17,0,,0, , , , , , , , , , 
I5E0008374,B0010000000000000,43,YDA,AP0961E1,1215,200,20151031,C, ,1465,1215,10.8,8,22,19.323,2.725,1215,0,200,22,19,0,,0, , , , , , , , , , 
I5E0008375,B0010000000000000,43,YDA,AP0961E1,1235,200,20151031,C, ,1485,1235,10.8,8,22,19.323,2.725,1235,0,200,22,19,0,,0, , , , , , , , , , 
I5E0008376,B0010000000000000,43,YDA,AP0961E1,1265,300,20151031,C, ,1515,1265,10.8,8,24,21.357,2.725,1265,0,300,24,21,0,,0, , , , , , , , , , 
I5E0008380,B0010000000000000,43,YDA,AP0951E1,1012,1500,20151031,C, ,1262,1012,10.8,8,17,15.255,3.02,1012,0,1500,17,15,0,,0, , , , , , , , , , 
I5E0008381,B0010000000000000,43,YDA,AP0951E1,1055,500,20151031,C, ,1305,1055,10.8,8,20,17.289,3.02,1055,0,500,20,17,0,,0, , , , , , , , , , 
I5E0008386,B0010000000000000,43,YDA,AP0951E1,1015,300,20151031,C, ,1265,1015,10.8,8,20,17.289,2.77,1015,0,300,20,17,0,,0, , , , , , , , , , 
I5E0008387,B0010000000000000,43,YDA,AP0951E1,1015,200,20151031,C, ,1265,1015,10.8,8,20,17.289,3.52,1015,0,200,20,17,0,,0, , , , , , , , , , 
I5E0008388,B0010000000000000,43,YDA,AP0951E1,1215,300,20151031,C, ,1465,1215,10.8,8,24,21.357,2.77,1215,0,300,24,21,0,,0, , , , , , , , , , 
I5E0008389,B0010000000000000,43,YDA,AP0951E1,1235,300,20151031,C, ,1485,1235,10.8,8,24,21.357,2.77,1235,0,300,24,21,0,,0, , , , , , , , , , 
I5E0008390,B0010000000000000,43,YDA,AP0951E1,1235,300,20151031,C, ,1485,1235,10.8,8,24,21.357,3.52,1235,0,300,24,21,0,,0, , , , , , , , , , 
I5E0008391,B0010000000000000,43,YDA,AP0951E1,1265,300,20151031,C, ,1515,1265,10.8,8,24,21.357,2.77,1265,0,300,24,21,0,,0, , , , , , , , , , 
I5E0008392,B0010000000000000,43,YDA,AP0951E1,1265,300,20151031,C, ,1515,1265,10.8,8,24,21.357,3.52,1265,0,300,24,21,0,,0, , , , , , , , , , 
I5E0008393,B0010000000000000,43,YDA,AP0951E1,1015,500,20151031,C, ,1265,1015,10.8,8,20,17.289,2.77,1015,0,500,20,17,0,,0, , , , , , , , , , 
I5E0008394,B0010000000000000,43,YDA,AP0951E1,1215,500,20151031,C, ,1465,1215,10.8,8,22,18.306,2.77,1215,0,500,22,18,0,,0, , , , , , , , , , 
I5E0008395,B0010000000000000,43,YDA,AP0951E1,1015,500,20151031,C, ,1265,1015,10.8,8,22,18.306,3.52,1015,0,500,22,18,0,,0, , , , , , , , , , 
I5E0008396,B0010000000000000,43,YDA,AP0951E1,1215,500,20151031,C, ,1465,1215,10.8,8,25,20.34,2.77,1215,0,500,25,20,0,,0, , , , , , , , , , 
I5E0008397,B0010000000000000,43,YDA,AP0961E1,1015,500,20151031,C, ,1265,1015,10.8,8,22,18.306,2.6,1015,0,0,22,18,0,,0, , , , , , , , , , 
I5E0008397,B0020000000000000,43,YDA,AP0961E1,1015,500,20151031,C, ,1255,1015,10.8,8,22,18.324,2.6,1015,0,500,22,18,0,,0, , , , , , , , , , 
I5E0008398,B0010000000000000,43,YDA,AP0961E1,1265,500,20151031,C, ,1515,1265,10.8,8,25,20.34,2.58,1265,0,500,25,20,0,,0, , , , , , , , , , 
I5E0008399,B0010000000000000,43,YDA,AP0951E1,1015,1000,20151031,C, ,1265,1015,10.8,8,22,17.289,2.77,1015,0,1000,22,17,0,,0, , , , , , , , , , 
I5E0008400,B0010000000000000,43,YDA,AP0951E1,1015,500,20151031,C, ,1265,1015,10.8,8,22,17.289,3.52,1015,0,500,22,17,0,,0, , , , , , , , , , 
I5E0008401,B0010000000000000,43,YDA,AP0951E1,1215,1000,20151031,C, ,1465,1215,10.8,8,25,20.34,2.77,1215,0,1000,25,20,0,,0, , , , , , , , , , 
I5E0008402,B0010000000000000,43,YDA,AP0951E1,1215,500,20151031,C, ,1465,1215,10.8,8,25,20.34,3.52,1215,0,500,25,20,0,,0, , , , , , , , , , 
I5E0008403,B0010000000000000,43,YDA,AP0951E1,1235,500,20151031,C, ,1485,1235,10.8,8,25,20.34,2.77,1235,0,500,25,20,0,,0, , , , , , , , , , 
I5E0008404,B0010000000000000,43,YDA,AP0951E1,1235,500,20151031,C, ,1485,1235,10.8,8,25,20.34,3.52,1235,0,500,25,20,0,,0, , , , , , , , , , 
I5E0008405,B0010000000000000,43,YDA,AP0951E1,1265,500,20151031,C, ,1515,1265,10.8,8,25,20.34,2.77,1265,0,500,25,20,0,,0, , , , , , , , , , 
I5E0008406,B0010000000000000,43,YDA,AP0951E1,1265,500,20151031,C, ,1515,1265,10.8,8,25,20.34,3.52,1265,0,500,25,20,0,,0, , , , , , , , , , 
I5E0008419,B0010000000000000,43,YDA,AP0961E1,1015,1200,20151130,C, ,1265,1015,10.8,8,20,17.289,2.725,1015,0,1200,20,17,0,,0, , , , , , , , , , 
I5E0008420,B0010000000000000,43,YDA,AP0961E1,1215,800,20151130,C, ,1465,1215,10.8,8,22,19.323,2.725,1215,0,800,22,19,0,,0, , , , , , , , , , 
I5E0008421,B0010000000000000,43,YDA,AP0961E1,1235,800,20151130,C, ,1485,1235,10.8,8,22,19.323,2.725,1235,0,800,22,19,0,,0, , , , , , , , , , 
I5E0008422,B0010000000000000,43,YDA,AP0961E1,1265,1200,20151130,C, ,1515,1265,10.8,8,24,21.357,2.725,1265,0,1200,24,21,0,,0, , , , , , , , , , 
I5E0008427,B0010000000000000,43,YDA,AP0951E1,1012,500,20151130,C, ,1262,1012,10.8,8,17,15.255,3.02,1012,0,500,17,15,0,,0, , , , , , , , , , 
I5E0008428,B0010000000000000,43,YDA,AP0951E1,1055,500,20151130,C, ,1305,1055,10.8,8,20,17.289,3.02,1055,0,500,20,17,0,,0, , , , , , , , , , 
I5E0008429,B0010000000000000,43,YDA,AP0951E1,1015,500,20151130,C, ,1265,1015,10.8,8,20,17.289,2.77,1015,0,500,20,17,0,,0, , , , , , , , , , 
I5E0008430,B0010000000000000,43,YDA,AP0951E1,1215,500,20151130,C, ,1465,1215,10.8,8,22,18.306,2.77,1215,0,500,22,18,0,,0, , , , , , , , , , 
I5E0008431,B0010000000000000,43,YDA,AP0951E1,1235,500,20151130,C, ,1485,1235,10.8,8,22,18.306,2.77,1235,0,500,22,18,0,,0, , , , , , , , , , 
I5E0008432,B0010000000000000,43,YDA,AP0951E1,1265,500,20151130,C, ,1515,1265,10.8,8,22,18.306,2.77,1265,0,500,22,18,0,,0, , , , , , , , , , 
I5E0008433,B0010000000000000,43,YDA,AP0951E1,1015,500,20151130,C, ,1265,1015,10.8,8,22,18.306,2.77,1015,0,500,22,18,0,,0, , , , , , , , , , 
I5E0008434,B0010000000000000,43,YDA,AP0951E1,1015,1000,20151130,C, ,1265,1015,10.8,8,22,18.306,3.52,1015,0,1000,22,18,0,,0, , , , , , , , , , 
I5E0008435,B0010000000000000,43,YDA,AP0951E1,1215,500,20151130,C, ,1465,1215,10.8,8,25,20.34,3.52,1215,0,500,25,20,0,,0, , , , , , , , , , 
I5E0008436,B0010000000000000,43,YDA,AP0961E1,1015,1000,20151130,C, ,1265,1015,10.8,8,22,18.306,2.6,1015,0,0,22,18,0,,0, , , , , , , , , , 
I5E0008436,B0020000000000000,43,YDA,AP0961E1,1015,1000,20151130,C, ,1255,1015,10.8,8,22,18.324,2.6,1015,0,1000,22,18,0,,0, , , , , , , , , , 
I5E0008437,B0010000000000000,43,YDA,AP0961E1,1215,1000,20151130,C, ,1465,1215,10.8,8,25,20.34,2.58,1215,0,1000,25,20,0,,0, , , , , , , , , , 
I5E0008438,B0010000000000000,43,YDA,AP0961E1,1265,500,20151130,C, ,1515,1265,10.8,8,25,20.34,2.58,1265,0,500,25,20,0,,0, , , , , , , , , , 
I5E0008439,B0010000000000000,43,YDA,AP0961E1,1015,500,20151130,C, ,1265,1015,10.8,8,22,18.306,3.32,1015,0,500,22,18,0,,0, , , , , , , , , , 
I5E0008440,B0010000000000000,43,YDA,AP0961E1,1215,500,20151130,C, ,1465,1215,10.8,8,25,20.34,3.295,1215,0,500,25,20,0,,0, , , , , , , , , , 
I5E0008441,B0010000000000000,43,YDA,AP0961E1,1265,500,20151130,C, ,1515,1265,10.8,8,25,20.34,3.295,1265,0,500,25,20,0,,0, , , , , , , , , , 
I5E0008442,B0010000000000000,43,YDA,AP0951E1,1015,2000,20151130,C, ,1265,1015,10.8,8,22,17.289,2.77,1015,0,2000,22,17,0,,0, , , , , , , , , , 
I5E0008443,B0010000000000000,43,YDA,AP0951E1,1015,2500,20151130,C, ,1265,1015,10.8,8,22,17.289,3.52,1015,0,2500,22,17,0,,0, , , , , , , , , , 
I5E0008444,B0010000000000000,43,YDA,AP0951E1,1215,1000,20151130,C, ,1465,1215,10.8,8,25,20.34,2.77,1215,0,1000,25,20,0,,0, , , , , , , , , , 
I5E0008445,B0010000000000000,43,YDA,AP0951E1,1215,2000,20151130,C, ,1465,1215,10.8,8,25,20.34,3.52,1215,0,2000,25,20,0,,0, , , , , , , , , , 
I5E0008446,B0010000000000000,43,YDA,AP0951E1,1235,1500,20151130,C, ,1485,1235,10.8,8,25,20.34,2.77,1235,0,1500,25,20,0,,0, , , , , , , , , , 
I5E0008447,B0010000000000000,43,YDA,AP0951E1,1235,2000,20151130,C, ,1485,1235,10.8,8,25,20.34,3.52,1235,0,2000,25,20,0,,0, , , , , , , , , , 
I5E0008448,B0010000000000000,43,YDA,AP0951E1,1265,1500,20151130,C, ,1515,1265,10.8,8,25,20.34,2.77,1265,0,1500,25,20,0,,0, , , , , , , , , , 
I5E0008449,B0010000000000000,43,YDA,AP0951E1,1265,2500,20151130,C, ,1515,1265,10.8,8,25,20.34,3.52,1265,0,2500,25,20,0,,0, , , , , , , , , , 
I5E0008463,B0010000000000000,43,YDA,AP0951E1,1265,300,20151031,C, ,1515,1265,10.8,8,24,20.34,2.57,1265,0,300,24,20,0,,0, , , , , , , , , , 
I5E0008464,B0010000000000000,43,YDA,AP0951E1,1015,500,20151031,C, ,1270,1020,10.8,8,22,18.306,2.77,1020,0,500,22,18,0,,0, , , , , , , , , , 
I5E0008465,B0010000000000000,43,YDA,AP0951E1,1215,500,20151031,C, ,1470,1220,10.8,8,26,22.374,2.77,1220,0,500,26,22,0,,0, , , , , , , , , , 
I5E0008466,B0010000000000000,43,YDA,AP0951E1,1265,1000,20151031,C, ,1520,1270,10.8,8,26,22.374,2.77,1270,0,1000,26,22,0,,0, , , , , , , , , , 
I5E0008467,B0010000000000000,43,YDA,AN0691D1,1010,500,20151031,C, ,1260,1010,10.8,8,21,17.289,2.775,1010,0,500,21,17,0,,0, , , , , , , , , , 
I5E0008468,B0010000000000000,43,YDA,AN0691D1,1010,500,20151031,C, ,1260,1010,10.8,8,21,17.289,3.525,1010,0,500,21,17,0,,0, , , , , , , , , , 
